"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"AdministerVaccine","AdministerVaccine","AdministerVaccine","","","",0,*,"","","","null {[]} {[]}
","NG-Imm-D AdministerVaccine[information only]","IMMZ.D - A logical model for capturing vaccine administration details","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"AdministerVaccine","AdministerVaccine.nameOfHealthFacility","AdministerVaccine.nameOfHealthFacility","","","",1,1,"","","","string {[]} {[]}
","Name of health facility","Name of the facility where the vaccination is taking place.","","","","","","","","","",,,,,"",,,,"AdministerVaccine.nameOfHealthFacility",1,1,"",""
"AdministerVaccine","AdministerVaccine.facilityType","AdministerVaccine.facilityType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Facility type","The type of health facility. Uses the IMMZ.D CodeSystem.","","","","","","","","","",,,,,"#NGFacilityTypeVS
",,,,"AdministerVaccine.facilityType",1,1,"",""
"AdministerVaccine","AdministerVaccine.sessionType","AdministerVaccine.sessionType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Session type","Type of immunization session. Uses the IMMZ.D CodeSystem.","","","","","","","","","",,,,,"#NGSessionTypeVS
",,,,"AdministerVaccine.sessionType",1,1,"",""
"AdministerVaccine","AdministerVaccine.vaccineType","AdministerVaccine.vaccineType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Vaccine type","Type of vaccine administered. Uses IMMZ.F Vaccine Library codes.","","","","","","","","","",,,,,"#NGVaccineLibraryVS
",,,,"AdministerVaccine.vaccineType",1,1,"",""
"AdministerVaccine","AdministerVaccine.contraindicated","AdministerVaccine.contraindicated","","","",0,1,"","","","boolean {[]} {[]}
","Contraindicated","Immunization not recommended due to contraindications.","","","","","","","","","",,,,,"",,,,"AdministerVaccine.contraindicated",0,1,"",""
"AdministerVaccine","AdministerVaccine.contraindications","AdministerVaccine.contraindications","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Contraindications to immunization","Specific situations where certain vaccines should not be administered. Uses the IMMZ.D CodeSystem.","","","","","","","","","",,,,,"#NGContraindicationVS
",,,,"AdministerVaccine.contraindications",0,*,"",""
"AdministerVaccine","AdministerVaccine.vaccinationDateTime","AdministerVaccine.vaccinationDateTime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of vaccination","The date and time the vaccine was administered.","","","","","","","","","",,,,,"",,,,"AdministerVaccine.vaccinationDateTime",1,1,"",""
"AdministerVaccine","AdministerVaccine.vaccineAdministeringCenter","AdministerVaccine.vaccineAdministeringCenter","","","",1,1,"","","","string {[]} {[]}
","Vaccine Administering Center","Facility where vaccine was administered.","","","","","","","","","",,,,,"",,,,"AdministerVaccine.vaccineAdministeringCenter",1,1,"",""
"AdministerVaccine","AdministerVaccine.vaccineBatchNumber","AdministerVaccine.vaccineBatchNumber","","","",1,1,"","","","string {[]} {[]}
","Vaccine batch number","Batch or lot number of vaccine.","","","","","","","","","",,,,,"",,,,"AdministerVaccine.vaccineBatchNumber",1,1,"",""
