URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://nphcda.gov.ng/immunizationIG/ValueSet/nigeria-clinical-status,0.5.0,active,,NGClinicalStatusVS,NG-Imm Clinical Status VS,"The outcome of the reaction",,"Internal"
https://nphcda.gov.ng/immunizationIG/ValueSet/nigeria-facility-types,0.5.0,active,,NGFacilityTypeVS,NG-Imm HealthFacility Type VS,"Classification of Nigerian health facilities",,"Internal"
https://nphcda.gov.ng/immunizationIG/ValueSet/nigeria-gender,0.5.0,draft,,NGGenderVS,NG-Imm Gender or Sex VS,"Subset of HL7 administrative-gender limited to 'male' and 'female'.",,"Internal"
https://nphcda.gov.ng/immunizationIG/ValueSet/nigeria-hiv-status,0.5.0,active,,NGHivStatusVS,NG-Imm Client HIV Status VS,"Client HIV Status",,"Internal"
https://nphcda.gov.ng/immunizationIG/ValueSet/nigeria-languages,0.5.0,active,,NGLanguagesVS,NG-Imm Languages VS,"The Patient's preferred language for communication.",,"Internal"
https://nphcda.gov.ng/immunizationIG/ValueSet/nigeria-lgas,0.5.0,active,,NGLGAsVS,NG-Imm LGAs VS,"The administrative Local Government Areas where a person or a facility is.",,"Internal"
https://nphcda.gov.ng/immunizationIG/ValueSet/nigeria-location-owner,0.5.0,active,,NGOrganizationOwnerVS,NG-Imm Location Owner,"The owner of an Immunization location",,"Internal"
https://nphcda.gov.ng/immunizationIG/ValueSet/nigeria-pregnancy-status,0.5.0,active,,NGPregnancyStatusVS,NG-Imm Client Preganancy Status VS,"Client Pregnancy Status",,"Internal"
https://nphcda.gov.ng/immunizationIG/ValueSet/nigeria-relationship,0.5.0,active,,NGRelationshipsVS,NG-Imm Relationships VS,"list of persons related to a patient, but who is not a direct target of care.",,"Internal"
https://nphcda.gov.ng/immunizationIG/ValueSet/nigeria-session-type,0.5.0,active,,NGSessionTypeVS,NG-Imm Session Type VS,"Type of session for immunization. Could be in a fixed facility, outreach or mobile.",,"Internal"
https://nphcda.gov.ng/immunizationIG/ValueSet/nigeria-sibling-health-status,0.5.0,active,,NGSiblingHealthStatusVS,NG-Imm Sibling Health Status VS,"This CodeSystem defines the health of the client's sibling",,"Internal"
https://nphcda.gov.ng/immunizationIG/ValueSet/nigeria-states,0.5.0,active,,NGStatesVS,NG-Imm States VS,"The state where a person or a facility is.",,"Internal"
https://nphcda.gov.ng/immunizationIG/ValueSet/nigeria-vaccine-contraindication,0.5.0,active,,NGContraindicationVS,NG-Imm Vaccine Contraindication VS,"A set of standardized codes used to represent clinical conditions, diagnoses, or circumstances that serve as contraindications to the administration of one or more vaccines.",,"Internal"
https://nphcda.gov.ng/immunizationIG/ValueSet/nigeria-vaccine-library,0.5.0,active,,NGVaccineLibraryVS,NG-Imm VaccineLibrary VS,"A curated list of vaccines recognized under Nigeria's national immunization program",,"Internal"
https://nphcda.gov.ng/immunizationIG/ValueSet/nigeria-wards,0.5.0,active,,NGWardsVS,NG-Imm Wards VS,"The administrative Ward (within an LGA) where a person or a facility is.",,"Internal"
