Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.nigeriaImmunization.json	31595	-	0	0	0	0	0	0	15	85	0	0	0	0	0	0	0	3	0	0	297	496	0	0	0	7	0	2
fsh-generated/resources/AllergyIntolerance-FullExampleNgAllergyIntolerance.json	1178	16	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	33	32	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-NgImmCapabilityStatementClient.json	1669	16	0	0	1	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	49	48	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-NgImmCapabilityStatementServer.json	3575	8	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	67	35	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-NGStockReportCS.json	3880	10	0	0	0	0	0	0	1	10	0	0	2	0	0	0	0	0	0	0	69	3469	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nigeria-allergy-severity.json	1407	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	37	73	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nigeria-clinical-status.json	1723	9	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	35	76	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nigeria-facility-type.json	2167	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	40	80	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nigeria-gender.json	626	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	23	70	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nigeria-hiv-status.json	988	5	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	25	61	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nigeria-immunization-contraindication.json	1818	10	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	39	81	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nigeria-immunization-session-type.json	1532	9	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	36	63	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-nigeria-immunization-site.json	1950	8	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	40	65	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nigeria-lgas.json	81703	40	0	0	1	0	0	0	12	133	0	0	4	0	0	0	0	3	0	0	719	317	0	0	0	35	0	0
fsh-generated/resources/CodeSystem-nigeria-pregnancy-status.json	1063	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	30	58	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nigeria-sibling-health-status.json	1152	5	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	36	99	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nigeria-states.json	2833	7	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	52	73	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-nigeria-vaccine-library.json	5479	9	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	60	77	0	0	0	1	0	3
fsh-generated/resources/CodeSystem-nigeria-wards.json	1754	8	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	40	60	0	0	0	0	0	0
fsh-generated/resources/Immunization-ExampleNgImmImmunizationCompleted.json	2032	6	0	0	0	0	0	0	0	3884	0	0	0	0	0	0	0	0	0	0	36	40	0	0	0	0	0	0
fsh-generated/resources/Immunization-ExampleNgImmImmunizationNotDone.json	2556	12	0	0	0	0	0	0	0	3888	0	0	0	0	0	0	0	0	0	0	34	38	0	0	0	0	0	0
fsh-generated/resources/MeasureReport-ExampleNgImmMeasureReport.json	751	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	23	41	0	0	0	0	0	0
fsh-generated/resources/Organization-organization-example.json	767	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	33	0	0	0	0	0	0
fsh-generated/resources/Patient-ExampleNgImmPatient.json	1990	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	29	38	0	0	0	0	0	0
fsh-generated/resources/Patient-ExampleNgPatientAdminWard.json	1020	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	24	0	0	0	0	0	0
fsh-generated/resources/Patient-FullExampleNgImmPatient.json	2199	8	0	0	0	0	0	0	1	43	0	0	0	0	0	0	0	0	0	0	30	27	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ng-practitioner-example.json	517	5	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	27	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-Child1.json	435	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	22	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-SearchParameter-ngimm-birthdate.json	384	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	27	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-SearchParameter-ngimm-createddate.json	402	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	21	19	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-SearchParameter-ngimm-firstname.json	383	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	27	23	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-SearchParameter-ngimm-gender.json	365	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	23	21	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-SearchParameter-ngimm-identifier.json	389	5	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	37	20	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-SearchParameter-ngimm-immdate.json	403	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	36	27	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-SearchParameter-ngimm-immpatient.json	406	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	24	19	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-SearchParameter-ngimm-immstatus.json	429	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	31	24	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-SearchParameter-ngimm-immvaccinecode.json	435	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	24	19	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-SearchParameter-ngimm-lastname.json	377	5	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	26	24	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-SearchParameter-ngimm-lga.json	360	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	24	21	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-SearchParameter-ngimm-state.json	374	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	27	20	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-AdministerVaccine.json	6727	5	0	16	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	202	334	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DefaulterTracking.json	3751	4	0	23	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	151	290	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-IMMZGGenerateReport.json	17760	9	0	43	0	0	0	0	0	34	0	0	0	0	0	0	1	0	0	0	454	457	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-NgImmImmunization.json	7471	7	0	398	0	0	0	0	0	91	0	0	1	0	0	0	0	4	0	0	707	1001	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-NgImmPatient.json	11114	7	0	87	0	0	0	0	0	55	0	0	1	0	0	0	0	3	0	0	1027	960	0	0	0	21	0	0
fsh-generated/resources/StructureDefinition-NgImmPractitioner.json	3247	6	0	210	0	0	0	0	0	19	0	0	0	0	0	0	0	2	0	0	526	460	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-UpdateClientHistory.json	19494	6	0	42	1	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	422	618	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-age-in-months.json	1355	3	0	22	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	88	200	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-age-in-weeks.json	1346	2	0	18	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	97	211	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-age-in-years.json	1346	4	0	22	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	91	219	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-allergy-intolerance-profile.json	4989	4	0	121	0	0	0	0	0	34	0	0	1	0	0	0	0	1	0	0	472	492	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-allergy-reference-dose-number.json	1886	4	0	19	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	150	221	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-allergy-reference-dose-series.json	1924	5	0	24	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	148	232	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-birth-weight.json	1260	5	0	17	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	80	197	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-contraindications.json	2065	5	0	23	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	90	186	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-date-client-created.json	1363	3	0	16	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	90	183	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-hiv-status.json	1479	3	0	20	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	85	187	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-manage-aefi.json	6920	3	0	27	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	194	234	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-measure-report-profile.json	3413	3	0	109	1	0	0	0	0	23	0	0	4	0	0	0	0	1	0	0	507	638	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-mother-other-children.json	3535	3	0	21	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	318	354	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-next-dose-date.json	1798	2	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	160	209	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ng-imm-organization.json	3097	2	0	26	0	0	0	0	0	18	0	0	1	0	0	0	0	5	0	0	402	446	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ngimm-measure.json	4155	3	0	35	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	798	621	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-nigeria-administrative-ward.json	1547	3	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	107	187	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-pregnancy-status.json	1521	2	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	101	201	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-primary-vaccine-status.json	1933	3	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	150	218	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-register-client-model.json	15156	4	0	41	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	632	441	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-register-facility-model.json	12718	7	0	31	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	415	440	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-session-type.json	1852	4	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	146	246	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-sibling-health-status.json	1375	5	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	92	177	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-signature.json	1838	3	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	145	194	0	0	0	7	0	0
fsh-generated/resources/ValueSet-nigeria-Immunization-status-reason.json	479	2	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	21	136	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nigeria-allergy-severity.json	410	3	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	25	115	0	0	0	1	0	0
fsh-generated/resources/ValueSet-nigeria-clinical-status.json	413	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	89	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nigeria-facility-types.json	390	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	24	93	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nigeria-gender.json	484	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	93	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nigeria-hiv-status.json	388	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	21	88	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nigeria-lgas.json	415	2	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	889	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nigeria-pregnancy-status.json	425	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	82	0	0	0	1	0	0
fsh-generated/resources/ValueSet-nigeria-primary-vaccine-status.json	419	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	24	91	0	0	0	0	0	0
